Canton,German-name,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_growth_2013,gdp_growth_2014,gdp_growth_2015,gdp_growth_2016,gdp_growth_2017,gdp_growth_2018,gdp_growth_2019,gdp_growth_2020,gdp_growth_2021,gdp_growth_2022,gdp_per_cap_2013,gdp_per_cap_2014,gdp_per_cap_2015,gdp_per_cap_2016,gdp_per_cap_2017,gdp_per_cap_2018,gdp_per_cap_2019,gdp_per_cap_2020,gdp_per_cap_2021,gdp_per_cap_2022,motorization_2013,motorization_2014,motorization_2015,motorization_2016,motorization_2017,motorization_2018,motorization_2019,motorization_2020,motorization_2021,motorization_2022,motorization_2023,pop_2013,employed_total_2013,employed_noncommuters_2013,employed_commuters_2013,trainers_commuters_2013,pop_2014,employed_total_2014,employed_noncommuters_2014,employed_commuters_2014,trainers_commuters_2014,pop_2015,employed_total_2015,employed_noncommuters_2015,employed_commuters_2015,trainers_commuters_2015,pop_2016,employed_total_2016,employed_noncommuters_2016,employed_commuters_2016,trainers_commuters_2016,pop_2017,employed_total_2017,employed_noncommuters_2017,employed_commuters_2017,trainers_commuters_2017,pop_2018,employed_total_2018,employed_noncommuters_2018,employed_commuters_2018,trainers_commuters_2018,pop_2019,employed_total_2019,employed_noncommuters_2019,employed_commuters_2019,trainers_commuters_2019,pop_2020,employed_total_2020,employed_noncommuters_2020,employed_commuters_2020,trainers_commuters_2020,pop_2021,employed_total_2021,employed_noncommuters_2021,employed_commuters_2021,trainers_commuters_2021,pop_2022,employed_total_2022,employed_noncommuters_2022,employed_commuters_2022,trainers_commuters_2022
Jura,Jura,"4,608","4,752","4,665","4,655","4,771","5,000","5,098","4,626","5,353","5,799",4.4,3.9,-0.9,0.3,3.2,5.1,1.8,-9.6,15.3,7.8,64586.34,65931.74,64264.71,63814.74,65176.49,68160.71,69362.63,62809.98,72578.03,78546.38,577.1193,577.6297,579.8785,584.9661,589.1934,592.3728,595.4726,598.6628,603.1828,603.8646,608.4614,"59,311","34,904","3,650","31,255","7,321","60,021","34,756","3,588","31,168","7,382","60,327","34,603","3,161","31,442","7,813","60,754","34,116","3,477",30639,"7,934",60 947,33 775,3 421,30 355,7 893,61 140,34 883,5 360,29 523,7 189,61 370,33 773,5 181,28 592,6 355,61 505,33 208,4 721,28 486,6 985,61 627,33 872,5 964,27 909,7 382,61 634,34 126,5 307,28 820,6 435
Lucerne,Luzern,"25,484","26,004","26,331","26,795","27,243","27,793","28,304","28,040","30,123","31,924",2.9,2.2,2,2.6,2.4,0.8,2.6,-0.7,5.7,4.6,65644.22,66257.04,66378.39,66806.78,67275.41,68114.51,68810.28,67609.05,72007.4,75544.49,518.3381,523.3419,529.802,534.3062,537.2078,532.307,532.3459,531.509,532.6591,530.3265,528.736,"323,921","216,221","21,242","194,979","40,677","327,990","220,020","20,731","199,290","41,263","331,437","222,183","20,896","201,287","42,383","334,499","224,873","21,693",203180,"40,456",337 045,226 988,22 911,204 077,42 044,339 232,219 734,37 791,181 943,38 898,342 001,223 706,38 227,185 479,33 827,344 785,221 583,42 292,179 290,32 497,348 186,227 527,45 328,182 199,34 698,352 203,230 505,44 416,186 089,34 210
Neuchâtel,Neuenburg,"14,897","15,187","15,463","15,174","15,553","16,200","16,398","15,320","17,696","18,724",1.9,2.8,3.2,-1.3,3.5,4.6,1.5,-6.5,15.7,5.8,84893.2,85867.7,87011.12,85085.56,87244.73,91313.83,92818.18,86950.87,100528.2,106165.3,543.614,539.6254,542.8107,544.2683,544.5631,544.9922,547.0172,548.6527,552.3838,550.7022,549.2352,"145,622","85,911","7,264","78,647","17,993","146,165","86,197","6,803","79,394","18,534","147,082","85,456","7,158","78,299","18,601","147,433","85,519","7,591",77929,"18,056",146 929,85 036,6 849,78 187,18 546,146 334,82 297,12 831,69 466,17 202,146 440,81 574,13 356,68 218,15 910,146 426,80 828,13 862,66 966,15 091,146 778,83 427,13 316,70 112,16 158,147 270,85 735,13 008,72 727,15 757
Nidwalden,Nidwalden,"2,883","2,965","3,178","3,064","3,027","3,065","3,026","2,866","3,148","3,310",3.8,2.6,8.3,-3.2,-0.8,0,-1.1,-4.6,9.6,3.6,69083.44,70625.69,75216.93,72119,70782.54,71112.82,70109.32,66192.28,72016.89,74951.94,609.393,613.6602,619.0352,623.0552,626.3747,625.8465,624.9913,633.8339,638.4191,635.5538,636.1774,"35,476","24,071","2,611","21,459","3,523","35,765","23,860","2,338","21,521","3,494","36,077","24,545","2,229","22,316","3,973","36,095","23,934","2,496",21438,"4,003",36 497,24 246,2 635,21 611,3 737,36 682,23 371,4 762,18 610,3 988,36 616,23 987,4 655,19 332,3 233,36 957,23 520,4 977,18 543,3 467,37 389,23 682,5 041,18 641,3 434,37 829,24 070,4 358,19 711,3 073
Obwalden,Obwalden,"2,374","2,383","2,419","2,476","2,495","2,520","2,630","2,579","2,736","2,889",-1.4,0.3,1.2,2.7,1.7,1.2,3.3,-3.3,6.8,4.4,65383.35,64988.48,65464.53,66512.43,66576.7,66840.01,69422.39,67842.8,71492.87,74902.28,583.9956,587.6681,591.0572,594.5086,596.2866,602.1025,604.7409,609.4648,614.3854,609.2624,611.137,"30,287","20,655","2,202","18,453","3,745","30,646","20,368","2,198","18,170","3,950","30,927","20,737","2,289","18,448","3,498","31,169","20,777","1,484",19293,"3,636",31 369,21 394,2 040,19 354,3 846,31 548,20 789,2 953,17 836,2 956,31 675,21 128,4 295,16 834,2 898,31 785,20 766,4 025,16 741,2 682,32 109,21 034,4 357,16 677,3 102,32 327,20 925,3 811,17 114,3 105
Schaffhausen,Schaffhausen,"6,869","6,802","6,757","6,827","6,913","7,172","7,294","7,242","8,302","8,542",2.3,0.2,2.7,2.6,3.2,3.9,3.3,-0.1,14.7,3.4,87649.99,85987.03,84853,85020.43,85286.79,87820.27,88763.85,87545.84,99364.88,100958.5,551.9082,555.7671,557.7647,563.2797,561.8492,561.8861,562.0739,566.304,568.2794,568.2005,571.5845,"66,462","41,945","3,697","38,248","7,262","67,103","42,040","4,013","38,027","7,025","67,434","40,222","4,376","35,846","7,919","68,110","41,685","3,975",37709,"7,170",68 545,41 392,4 890,36 502,6 945,69 088,40 843,6 398,34 446,7 217,69 345,41 306,7 134,34 172,6 209,69 907,41 145,7 592,33 553,6 094,70 501,42 021,8 128,33 893,6 960,71 535,41 919,8 119,33 800,6 232
Schwyz,Schwyz,"8,893","9,018","9,250","9,313","9,515","9,720","9,955","10,021","10,885","11,623",2.6,1.6,3.4,1.2,2.4,1.6,2.1,0.6,7.3,4.3,59043.13,59298.65,60288.59,60093.56,60766.26,61429.35,62285.85,62121.4,66812.39,70738.63,619.1417,623.9134,630.9154,639.0751,641.9355,644.8529,646.1157,651.078,655.2354,653.0372,658.0221,"126,234","85,350","9,576","75,774","14,332","127,729","86,392","10,359","76,033","13,911","129,023","86,506","10,965","75,542","14,929","130,566","86,886","9,842",77044,"14,164",131 851,87 492,10 931,76 561,15 746,133 326,85 813,16 067,69 746,14 367,134 575,88 033,15 874,72 160,12 449,136 273,88 360,19 165,69 195,11 933,137 630,89 309,21 752,67 557,12 802,138 672,90 281,19 717,70 565,11 733
Solothurn,Solothurn,"17,296","17,572","17,666","17,666","17,888","18,369","18,621","18,141","19,458","20,763",1.4,1.9,1.2,0.4,1.7,2.2,1.2,-2.7,5.1,3.1,66432.08,66920.32,66645.2,65934.94,66145.78,67457.04,67903.87,65642.49,69777.79,73802.95,572.0468,575.1137,577.8309,582.0966,579.6853,579.3753,581.2756,583.901,585.2585,581.7303,582.4021,"220,463","141,369","12,221","129,148","25,360","222,919","140,538","10,943","129,595","24,997","225,152","142,718","12,238","130,480","26,777","227,461","142,565","12,181",130384,"25,040",228 967,145 930,13 459,132 472,24 961,230 273,141 326,23 034,118 292,24 197,231 764,143 529,23 276,120 253,20 977,233 690,141 551,25 363,116 188,21 353,235 456,142 239,26 385,115 854,22 186,237 080,143 830,26 173,117 658,22 083
St. Gallen,St. Gallen,"36,289","36,885","36,676","37,105","37,439","38,072","38,962","38,601","42,141","44,589",2.5,1.6,1,1.9,1.4,2,1.6,-0.1,8.5,2.8,74152.96,74702.31,73729.1,74090.81,74339.89,75211.79,76513.49,75300.88,81530.96,85320.15,543.7934,546.5478,548.7169,552.9721,554.7764,556.227,557.163,560.1722,561.7235,560.0362,560.191,"408,564","265,383","24,648","240,735","48,881","412,848","269,363","25,075","244,287","48,188","414,554","267,895","26,405","241,490","50,639","418,305","266,038","27,294",238744,"48,699",420 349,269 973,25 444,244 529,50 035,422 600,266 185,42 128,224 057,47 855,424 721,267 512,40 633,226 880,41 337,427 747,262 907,44 751,218 156,40 925,431 501,271 061,45 675,225 386,44 731,436 948,274 584,47 140,227 444,42 407
Switzerland,Schweiz,"654,612","665,618","668,006","677,848","684,558","709,522","716,879","696,620","745,067","791,087",1.8,2.3,1.6,2.1,1.4,2.9,1.1,-2.1,5.6,3,80922.7,81285.5,80653.76,80953.18,80995.2,83332.65,83598.27,80644.42,85595.17,90130.95,537.4863,538.6596,541.1811,543.2882,542.8821,542.5056,541.1595,541.2871,543.1607,540.267,540.0726,"6,744,794","4,255,289","411,429","3,843,860","810,200","6,829,610","4,320,443","419,093","3,901,350","813,175","6,907,818","4,346,603","424,873","3,921,729","836,635","6,981,381","4,366,030","440,770",3925260,"833,858",7 036 199,4 430 966,454 766,3 976 201,846 177,7 084 068,4 317 116,742 717,3 574 399,798 134,7 132 533,4 371 219,767 497,3 603 723,723 595,7 187 715,4 326 555,874 244,3 452 311,698 182,7 243 555,4 420 298,949 194,3 471 104,744 502,7 307 819,4 490 178,900 338,3 589 840,734 895
Thurgau,Thurgau,"15,945","16,186","16,060","16,406","16,541","16,992","17,358","17,559","19,328","20,292",2,2,0.6,2.8,1.3,2.2,1.9,1.2,8.2,2.1,61744.37,61775.84,60471.74,60973.62,60754.59,61758.11,62437.01,62438.48,67950.33,70504.15,606.5539,612.9139,620.6201,624.5957,629.9347,631.1701,632.281,633.0277,634.1686,630.0443,631.0133,"217,544","143,992","14,714","129,278","25,657","220,681","147,272","15,108","132,164","24,454","223,317","146,961","15,392","131,569","26,254","226,358","147,917","15,169",132748,"25,587",228 855,150 230,15 764,134 466,26 177,230 783,146 396,25 594,120 802,24 346,233 109,149 145,27 022,122 123,20 125,235 771,145 539,26 905,118 633,20 221,238 116,149 964,28 759,121 204,21 675,241 241,153 240,29 321,123 919,21 134
Ticino,Tessin,"29,063","29,653","29,623","29,564","29,285","30,521","30,990","29,018","33,365","36,084",3.5,2.3,0.8,0.3,-0.7,3.5,1.3,-5.8,13.2,4.7,84462.99,85098.56,84358.79,83712.37,82716.02,86333.37,87935.75,82616.68,94900.16,102190.3,629.6056,631.4989,634.3221,638.0666,635.8716,635.1719,632.1704,632.7075,635.0396,632.0131,626.1966,"293,233","154,097","13,713","140,384","31,574","296,844","157,110","13,832","143,279","32,034","298,822","157,683","13,957","143,726","32,798","301,265","159,376","14,734",144642,"33,748",300 858,159 479,15 676,143 803,34 089,300 912,151 998,27 421,124 577,31 711,299 826,153 364,29 118,124 246,29 619,300 151,152 229,29 935,122 294,26 476,301 215,152 732,30 661,122 071,30 082,303 163,155 339,31 090,124 250,29 533
Uri,Uri,"1,864","1,873","1,885","1,896","1,932","1,963","2,001","1,982","2,089","2,171",3.1,0.3,-0.6,0.6,3,2,1.5,-2.1,6.4,3,52086.57,52121.13,52365.85,52579.83,53343.93,53966.89,54714.8,53909.57,56559.56,58391.6,525.4812,530.2663,537.2695,543.8245,548.3193,551.4201,554.2228,554.0964,557.158,553.3242,557.2795,"29,703","18,832","-1,681","17,152","2,896","29,846","19,688","1,576","18,112","2,939","29,895","19,900","1,605","18,295","2,933","30,033","19,185","1,729",17456,"3,283",30 188,19 915,1 837,18 078,2 885,30 246,19 199,2 689,16 510,3 134,30 466,18 872,3 005,15 866,2 407,30 616,18 465,2 858,15 607,2 512,30 800,19 375,3 377,15 998,2 470,31 075,19 157,3 268,15 889,2 423
Valais,Wallis,"17,516","17,655","18,196","18,302","18,536","19,308","19,819","19,026","20,321","21,807",1.2,0.6,2.4,0.9,2,3.7,2.5,-5.2,7.4,5.2,54001.33,53600.25,54523.35,54237.87,54465.96,56339.43,57489.8,54827.06,57918.27,61386.57,625.9247,627.1196,631.291,636.3227,640.5259,645.045,643.968,647.6521,653.3516,650.377,650.3826,"272,021","164,727","12,850","151,877","32,380","276,351","167,798","15,011","152,786","33,340","279,810","166,482","13,271","153,211","33,028","283,009","167,250","14,727",152523,"34,076",285 305,171 367,15 915,155 452,32 732,287 519,167 289,27 606,139 683,30 966,288 793,168 160,27 773,140 387,30 366,291 821,165 441,29 764,135 678,28 827,295 660,169 242,29 962,139 280,31 107,299 210,174 720,30 642,144 078,29 504
Vaud,Waadt,"52,300","53,910","53,575","57,010","55,196","58,384","58,635","56,443","63,039","64,500",-2.8,3.1,0.7,7,-3.3,5,0.5,-3.6,10.1,0.1,70497.45,71365.05,69811.73,73172.74,69958.67,73334.21,73100.44,69688.36,76983.03,78021.25,533.447,530.5115,530.2398,530.4878,528.3083,526.0027,521.7339,522.088,520.1003,514.1585,511.538,"608,946","366,573","37,021","329,552","81,072","619,668","374,514","37,898","336,616","81,612","630,312","378,618","37,578","341,040","83,998","640,606","382,331","39,532",342799,"84,590",647 327,387 411,40 431,346 980,88 128,652 435,377 948,68 725,309 223,83 378,657 154,381 823,70 402,311 421,76 417,665 074,381 103,78 860,302 243,74 055,671 590,390 849,81 815,309 034,79 197,678 300,395 625,79 409,316 216,80 395
Zug,Zug,"18,924","18,298","19,243","19,575","19,100","19,674","20,309","20,319","22,641","25,176",4,1,7.3,2.2,-2.5,2.1,2.3,3.7,8.3,3,161266.5,153635,158888.2,159093.2,153188.2,155986.5,159608.6,158474.3,175117.6,192957.8,624.2333,633.2481,640.833,647.9522,652.7253,677.9008,680.9764,697.8111,714.9013,730.52,749.4739,"98,057","64,922","6,675","58,247","11,550","99,803","66,456","6,536","59,921","12,091","101,627","67,120","6,993","60,126","12,283","102,994","66,827","6,891",59936,"12,563",104 140,68 893,7 422,61 471,11 281,105 326,66 919,13 035,53 884,11 351,106 045,67 555,12 199,55 357,10 727,106 921,66 917,16 479,50 438,9 828,107 955,69 250,18 055,51 195,10 323,108 988,70 255,17 427,52 829,10 637
Zurich,Zürich,"141,722","144,487","144,643","146,281","148,711","156,883","155,291","149,209","152,931","164,495",2.1,3.3,2.4,1.7,2.4,4.3,-0.6,-2.2,1.4,3.8,100011.3,100621.4,99315.95,99026.14,99395.09,103713.6,101489.2,96490.85,98092.86,104619.5,497.9635,497.3617,500.3595,499.1565,495.472,492.3801,488.1023,484.0324,485.2304,482.1105,481.7075,"1,186,269","783,705","81,083","702,622","141,485","1,203,038","798,356","81,047","717,309","139,609","1,219,618","808,403","84,209","724,194","143,954","1,234,567","812,850","88,615",724235,"147,013",1 247 724,829 973,92 544,737 429,145 092,1 261 771,810 582,142 087,668 496,140 334,1 276 291,828 968,150 674,678 294,128 358,1 288 449,825 478,198 933,626 545,122 010,1 297 872,841 279,222 585,618 694,129 333,1 312 405,859 635,197 448,662 187,131 582
